ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,2017-12-28,687.0,719.9,671.32,718.69,664.18,54.51,8.21,124141.07,8656875.718
600519.SH,2017-12-29,718.0,726.5,691.6,697.49,718.69,-21.2,-2.95,76038.87,5372514.665
600519.SH,2018-01-02,700.0,710.16,689.89,703.85,697.49,6.36,0.91,49612.48,3482407.646
600519.SH,2018-01-03,701.5,721.4,699.74,715.86,703.85,12.01,1.71,52019.41,3713523.7010000004
600519.SH,2018-01-04,721.4,743.5,719.33,737.07,715.86,21.21,2.96,72205.08,5309890.21
600519.SH,2018-01-05,741.0,746.03,728.22,738.36,737.07,1.29,0.18,39989.07,2946493.0130000003
600519.SH,2018-01-08,735.02,756.5,735.02,752.13,738.36,13.77,1.86,52204.56,3899951.72
600519.SH,2018-01-09,752.21,783.0,752.21,782.52,752.13,30.39,4.04,64591.95,5001164.506
600519.SH,2018-01-10,785.0,788.88,773.48,785.71,782.52,3.19,0.41,47714.24,3731993.1539999996
600519.SH,2018-01-11,787.0,788.0,772.0,774.81,785.71,-10.9,-1.39,50656.07,3942075.854
600519.SH,2018-01-12,773.77,788.8,767.02,788.42,774.81,13.61,1.76,45988.24,3577281.776
600519.SH,2018-01-15,793.46,799.06,779.02,785.37,788.42,-3.05,-0.39,52473.13,4136645.4869999997
600519.SH,2018-01-16,780.48,788.61,768.0,772.94,785.37,-12.43,-1.58,65428.33,5084966.063
600519.SH,2018-01-17,770.0,774.0,738.51,747.93,772.94,-25.01,-3.24,90709.54,6835580.477000001
600519.SH,2018-01-18,747.93,765.0,744.09,750.74,747.93,2.81,0.38,58978.51,4443031.234
600519.SH,2018-01-19,752.9,758.9,739.02,750.18,750.74,-0.56,-0.07,50925.56,3818021.99
600519.SH,2018-01-22,751.81,774.0,751.81,773.64,750.18,23.46,3.13,67126.75,5129674.653
600519.SH,2018-01-23,777.81,780.0,768.6,773.78,773.64,0.14,0.02,49549.18,3836387.69
600519.SH,2018-01-24,776.44,776.46,758.6,764.46,773.78,-9.32,-1.2,43298.81,3311348.7739999997
600519.SH,2018-01-25,761.0,776.0,751.0,769.16,764.46,4.7,0.61,50040.72,3821875.04
600519.SH,2018-01-26,767.24,777.4,764.0,777.22,769.16,8.06,1.05,43978.33,3389953.777
600519.SH,2018-01-29,778.76,779.67,735.0,736.32,777.22,-40.9,-5.26,74535.51,5637041.971
600519.SH,2018-01-30,736.0,748.77,730.02,742.08,736.32,5.76,0.78,51911.03,3852705.098
600519.SH,2018-01-31,739.0,771.71,739.0,764.54,742.08,22.46,3.03,60402.41,4601994.781
600519.SH,2018-02-01,767.0,767.3,752.92,757.73,764.54,-6.81,-0.89,50582.61,3846421.613
600519.SH,2018-02-02,752.22,753.23,725.0,740.4,757.73,-17.33,-2.29,75420.82,5583742.782000001
600519.SH,2018-02-05,727.22,729.96,705.6,718.23,740.4,-22.17,-2.99,98995.85,7104095.616
600519.SH,2018-02-06,703.0,722.6,703.0,708.86,718.23,-9.37,-1.3,88168.71,6270888.575
600519.SH,2018-02-07,720.0,723.88,682.01,683.43,708.86,-25.43,-3.59,88289.98,6231141.116
600519.SH,2018-02-08,682.2,718.0,682.2,700.99,683.43,17.56,2.57,83409.43,5860233.484
600519.SH,2018-02-09,680.0,689.89,658.0,683.43,700.99,-17.56,-2.51,105578.26,7160206.33
600519.SH,2018-02-12,691.0,705.5,685.2,697.48,683.43,14.05,2.06,64179.55,4466343.242
600519.SH,2018-02-13,705.02,714.82,704.5,711.98,697.48,14.5,2.08,53389.18,3793782.378
600519.SH,2018-02-14,720.0,720.0,712.22,718.45,711.98,6.47,0.91,30652.6,2198728.707
600519.SH,2018-02-22,727.3,744.0,723.24,742.45,718.45,24.0,3.34,50764.69,3717469.267
600519.SH,2018-02-23,747.0,756.56,737.0,742.48,742.45,0.03,0.0,38158.77,2844936.758
600519.SH,2018-02-26,746.88,752.05,733.02,743.51,742.48,1.03,0.14,43658.24,3243216.345
600519.SH,2018-02-27,749.0,756.0,737.22,737.98,743.51,-5.53,-0.74,42601.54,3181778.8419999997
600519.SH,2018-02-28,732.0,742.3,719.0,725.62,737.98,-12.36,-1.67,48330.67,3522004.686
600519.SH,2018-03-01,728.0,746.85,723.77,741.97,725.62,16.35,2.25,44794.65,3303604.159
600519.SH,2018-03-02,738.0,743.56,730.0,736.41,741.97,-5.56,-0.75,25991.9,1912613.83
